#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_03698	NA	7.87318	1	8.234	1.47105	409.179	u
FVEG_03699	NA	8.53822	1	8.65808	18.6775	6889.12	u
FVEG_03700	NA	6.2399	1	6.72456	0.745289	73.6635	u
FVEG_03701	NA	4.89463	1	5.1727	2.53315	83.9393	u
FVEG_03709	NA	4.5957	1	4.86455	1.91265	51.1619	u
FVEG_03733	NA	-5.42311	1	-5.52798	101.065	1.99569	d
FVEG_03751	NA	6.8699	1	7.09558	2.94604	369.199	u
FVEG_03767	NA	4.97096	1	5.91665	0.191624	11.5118	u
FVEG_03815	NA	4.51279	1	4.82976	1.96918	51.5667	u
FVEG_03831	NA	5.13501	1	5.24791	13.1105	454.811	u
FVEG_03917	NA	4.42387	1	5.08306	0.457843	14.855	u
FVEG_03919	NA	-5.66942	1	-5.76232	199.945	3.3568	d
FVEG_04090	NA	-4.59969	1	-4.70654	45.8654	1.60068	d
FVEG_04101	NA	-4.36399	1	-4.40664	432.76	18.6039	d
FVEG_04238	NA	7.52036	1	7.98428	0.506876	119.699	u
FVEG_04269	NA	-5.44585	1	-6.15071	22.5898	0.276446	d
FVEG_04272	NA	4.74668	1	6.25946	0.125304	11.664	u
FVEG_04280	NA	-4.23221	1	-4.41656	90.359	3.85084	d
FVEG_04295	NA	-4.66249	1	-5.17762	11.2022	0.276599	d
FVEG_04308	NA	-5.24301	1	-5.4784	23.5762	0.480222	d
FVEG_04329	NA	-4.00115	1	-5.37988	0.918302	0.0178754	d
FVEG_04352	NA	-5.01825	1	-5.54177	6.10005	0.116746	d
FVEG_04353	NA	-6.82475	1	-7.42265	13.1733	0.0674965	d
FVEG_04357	NA	-4.68606	1	-5.05488	15.7544	0.428027	d
FVEG_04358	NA	-6.71257	1	-7.05707	20.1437	0.136447	d
FVEG_04381	NA	-6.30989	1	-6.62101	15.304	0.140579	d
FVEG_04388	NA	4.9643	1	6.21351	0.0815603	6.3054	u
FVEG_04403	NA	-6.89524	1	-7.29651	17.3573	0.0991581	d
FVEG_04418	NA	7.26747	1	7.8027	0.899824	188.924	u
FVEG_04427	NA	-4.24112	1	-4.44315	20.3601	0.851494	d
