# This file is generated by gfold V1.1.1						
# Normalization constants :						
#    7600_Gfold.read_cnt	46669976	1				
#    FV013_Gfold.read_cnt	266393578	5.20494				
# The GFOLD value could be considered as a reliable log2 fold change.						
# It is positive/negative if the gene is up/down regulated.						
# A gene with zero GFOLD value should never be considered as 						
# differentially expressed. For a comprehensive description of 						
"# GFOLD, please refer to the manual."						
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM
FVEG_00299	NA	0.314412	1	0.36153	31.0243	36.3519
FVEG_00300	NA	0	1	-0.0249096	4.41514	3.96463
FVEG_00301	NA	0.313369	1	0.386938	17.4831	20.8538
FVEG_00302	NA	1.58799	1	1.66432	47.9182	138.562
FVEG_00303	NA	1.51591	1	1.63991	6.61601	18.8249
FVEG_00304	NA	-0.701807	1	-0.765171	0.56387	0.316113
FVEG_00306	NA	0.24593	1	0.34813	5.66925	6.58502
FVEG_00308	NA	0.466683	1	0.727556	2.35643	3.57623
FVEG_00309	NA	1.95103	1	2.17172	3.26632	13.4767
FVEG_00310	NA	0.904027	1	0.958704	43.5694	77.2334
FVEG_00311	NA	0.0693162	1	0.140127	18.2495	18.3443
FVEG_00312	NA	0.431166	1	0.488416	28.7861	36.833
FVEG_00313	NA	0.762474	1	0.898333	9.53783	16.2332
FVEG_00314	NA	-5.76251	1	-6.49536	4.62123	0.0442548
FVEG_00316	NA	0.575193	1	1.18345	0.0738487	0.158127
FVEG_00317	NA	0	1	0.320559	0.0476611	0.0608345
FVEG_00319	NA	0	1	1.70758	0.0336111	0.14721
FVEG_00320	NA	0	1	0.397727	0.142372	0.195383
FVEG_00321	NA	0	1	0.0668026	0.641528	0.629387
FVEG_00322	NA	0	1	1.24461	0.102034	0.321758
FVEG_00323	NA	0	1	-0.307124	0.424598	0.321454
FVEG_00324	NA	0.0245929	1	0.198725	7.4779	7.8415
FVEG_00325	NA	4.98311	1	6.14838	0.146094	10.4965
FVEG_00326	NA	1.46812	1	1.68441	2.17086	6.38742
FVEG_00327	NA	0.506467	1	0.788946	1.98272	3.14298
FVEG_00328	NA	2.83348	1	3.71247	0.172915	2.23666
FVEG_00329	NA	0.991408	1	1.67489	0.103813	0.316458
FVEG_00330	NA	4.31701	1	5.09585	0.226741	7.57295
FVEG_00331	NA	0.875945	1	1.02891	11.0415	20.581
FVEG_00332	NA	-0.0953567	1	-0.15452	34.8135	28.5264
FVEG_00333	NA	0.228187	1	0.325795	16.8681	19.2906
FVEG_00334	NA	-0.508164	1	-0.548753	153.291	95.5632
FVEG_00335	NA	-0.673703	1	-0.750079	55.4658	30.0796
FVEG_00336	NA	0	1	-0.0224342	18.9498	17.0232
FVEG_00337	NA	0.102566	1	0.192507	32.8837	34.2837
FVEG_00338	NA	-1.46113	1	-1.62145	4.48089	1.32875
FVEG_00339	NA	-2.00501	1	-2.13738	36.7409	7.61587
FVEG_00340	NA	-1.07188	1	-1.15337	19.9659	8.18696
FVEG_00341	NA	-0.377587	1	-0.437229	13.7572	9.26661
FVEG_00342	NA	-3.45537	1	-3.51815	59.9258	4.7689
FVEG_00343	NA	0.778631	1	0.819882	75.0981	120.898
FVEG_00344	NA	0.360306	1	0.44995	14.5073	18.0802
FVEG_00345	NA	-1.86362	1	-1.91524	98.6346	23.8468
FVEG_00346	NA	0	1	0.0972417	8.80208	8.59222
FVEG_00347	NA	-0.174756	1	-0.252739	6.55519	5.01854
FVEG_00348	NA	0.78565	1	0.926819	9.4932	16.4814
FVEG_00349	NA	0.395731	1	0.496507	25.2967	32.5658
FVEG_00350	NA	0.362308	1	0.422881	28.6163	34.9905
FVEG_00351	NA	-0.248727	1	-0.311712	20.3574	14.9593
FVEG_00352	NA	0	1	0.114941	7.51875	7.4321
FVEG_00353	NA	0.877707	1	1.18389	3.24404	6.7722
FVEG_00354	NA	0.445468	1	0.503487	26.6133	34.4107
FVEG_00356	NA	0	1	-0.794918	0	0.0178754
FVEG_00358	NA	0	1	-0.0501045	10.4883	9.24116
FVEG_00359	NA	2.29639	1	2.35103	58.6465	272.905
FVEG_00360	NA	0	1	0.0206784	58.5987	54.2222
FVEG_00361	NA	0	1	-0.0299121	14.8101	13.2401
FVEG_00362	NA	-0.69491	1	-0.776475	13.5872	7.23508
FVEG_00363	NA	-1.81824	1	-1.9985	6.26861	1.43105
FVEG_00364	NA	1.5419	1	1.73361	4.1211	12.5356
FVEG_00365	NA	0.897563	1	1.0031	22.8711	41.8355
FVEG_00366	NA	-0.211377	1	-0.239982	230.5	177.983
FVEG_00367	NA	-0.448953	1	-0.528261	28.3939	17.9584
FVEG_00368	NA	-0.495415	1	-0.620306	5.98154	3.55084
FVEG_00370	NA	0.883158	1	1.13273	2.05403	4.12746
FVEG_00371	NA	0	1	0.18402	0.836994	0.883066
FVEG_00372	NA	1.41571	1	1.78593	0.982073	3.12597
FVEG_00373	NA	0.0130681	1	0.158305	4.55174	4.63826
FVEG_00374	NA	-0.38694	1	-0.440382	44.0382	29.5974
FVEG_00375	NA	0.74571	1	0.85198	4.11145	6.77263
FVEG_00376	NA	-0.0828735	1	-0.0983988	1138.37	969.614
FVEG_00377	NA	-1.21106	1	-1.3239	19.2105	7.00007
FVEG_00378	NA	0	1	-0.1269	0.590109	0.506216
FVEG_00379	NA	0	1	0.00247453	21.8426	19.9554
